Title,Name,Name_original,CV,Element,Class,Limit?,Release,Weapon_on,Weapon_final,Weapon_wait,From_3_to_4,,,
Yumekui Merry,Engi Threepiece,エンギ・スリーピース,遠藤綾,m,k,0,2019/11/9,2020/11/25,,382,14+,,,
Yumekui Merry,Tachibana Isana,橘 勇魚,茅野愛衣,w,p,0,2019/11/21,,,384,X,,,
School-Live!,Ebisuzawa Kurumi_swimsuit,くるみ【水著】,小澤亜李,m,k,1,2019/7/31,2020/8/12,,378,119+,,,
Urara Meirochou,Chiya_xmas,千矢【クリスマス】,原田彩楓,w,p,1,2017/12/18,2018/12/27,2019/5/30,374,154,,,
Blend S,Sakuranomiya Maika_swimsuit,苺香【水着】,和氣あず未,a,a,1,2019/7/24,2020/7/29,,371,133+,,,
Yuru Camp,Kagamihara Nadeshiko,各務原 なでしこ,花守ゆみり,a,w,0,2019/1/9,2020/1/15,,371,329+,,,
A Channel,Nishi Yuuko_xmas,ユー子【クリスマス】,寿美菜子,m,k,1,2017/12/22,2018/12/27,2019/3/28,370,91,,,
K-ON!,Hirasawa Yui_swimsuit,唯【水著】,豊崎愛生,a,p,1,2019/8/8,2020/8/12,,370,119+,,,
Blend S,Hinata Kaho_newyear,夏帆【お正月】,鬼頭明里,m,m,1,2018/12/27,2019/12/31,,369,344+,,,
Kill Me Baby,Oribe Yasuna_newyear,やすな【お正月】,赤﨑千夏,f,p,1,2018/12/27,2019/12/31,,369,344+,,,
Hidamari Sketch,Yuno_xmas,ゆの【クリスマス】,阿澄佳奈,s,m,1,2018/12/11,2019/12/11,2020/11/25,365,350,,,
Yumekui Merry,Merry Nightmare_xmas,メリー【クリスマス】,佐倉綾音,f,k,1,2018/12/11,2019/12/11,2020/11/25,365,350,,,
K-ON!,Akiyama Mio_valentine,澪【バレンタイン】,日笠陽子,m,w,1,2019/1/31,2020/1/30,,364,314+,,,
Urara Meirochou,Yukimi Koume_valentine,小梅【バレンタイン】,久保ユリカ,e,a,1,2019/1/31,2020/1/30,,364,314+,,,
Kirara Fantasia,Kirara_manga,きらら【マンガ版】,楠木ともり,s,p,1,2019/12/11,2020/12/10,,365,-1+,,,
NEW GAME!,Takimoto Hifumi_xmas,ひふみ【クリスマス】,山口愛,f,w,1,2018/12/18,2019/12/11,2020/11/25,358,350,,,
Kiniro Mosaic,Alice Cartelet_xmas,アリス【クリスマス】,田中真奈美,e,m,1,2017/12/18,2018/12/10,2019/8/27,357,260,,,
NEW GAME!,Shinoda Hajime_xmas,はじめ【クリスマス】,戸田めぐみ,a,w,1,2017/12/22,2018/12/10,2019/5/30,353,171,,,
Hanayamata,Hana N. Fountainstand_swimsuit,ハナ【水着】,田中美海,s,a,1,2019/8/14,2020/7/29,,350,133+,,,
NEW GAME!,Sakura Nene_swimsuit,ねね【水著】,朝日奈丸佳,e,w,1,2019/8/14,2020/7/29,,350,133+,,,
School-Live!,Wakasa Yuuri,若狭 悠里,M・A・O,f,m,0,2018/10/25,2019/10/8,2020/6/23,348,259,,,
A Channel,Momoki Run_newyear,るん【お正月】,福原香織,w,m,1,2019/12/27,,,348,X,,,
School-Live!,Wakasa Yuuri_newyear,ゆうり【お正月】,M・A・O,e,p,1,2019/12/27,,,348,X,,,
Kiniro Mosaic,Alice Cartelet_newyear,アリス【お正月】,田中真奈美,e,k,1,2020/1/1,,,343,X,,,
School-Live!,Naoki Miki,直樹 美紀,高橋李依,w,k,0,2019/11/21,2020/10/27,,341,43+,,,
Machikado Mazoku,Chiyoda Momo_xmas,桃【クリスマス】,鬼頭明里,s,m,1,2019/12/15,2020/11/11,,332,28+,,,
Urara Meirochou,Nijou Omi_newyear,臣【お正月】,市ノ瀬加那,w,a,1,2020/1/1,2020/11/25,,329,14+,,,
Comic Girls,Moeta Kaoruko_swimsuit,かおす【水著】,赤尾ひかる,a,k,1,2019/7/31,2020/6/23,,328,169+,,,
Yuyushiki,Nonohara Yuzuko_swimsuit,ゆずこ【水著】,大久保瑠美,a,k,1,2018/8/10,2019/7/3,2019/11/1,327,121,,,
Yuru Camp,Kagamihara Nadeshiko,各務原 なでしこ,花守ゆみり,f,m,0,2020/1/16,,,328,X,,,
Yuru Camp,Oogaki Chiaki,大垣 千明,原紗友里,a,p,0,2020/1/16,,,328,X,,,
Blend S,Hinata Kaho_swimsuit,夏帆【水著】,鬼頭明里,a,w,1,2018/7/31,2019/6/19,2020/3/31,323,286,,,
NEW GAME!,Yagami Kou_swimsuit,コウ【水著】,日笠陽子,f,m,1,2018/7/31,2019/6/19,2020/1/30,323,225,,,
Sakura Trick,Minami Shizuku_swimsuit,しずく【水著】,五十嵐裕美,w,w,1,2018/8/15,2019/7/3,2020/5/14,322,316,,,
Urara Meirochou,Tatsumi Kon_swimsuit,紺【水著】,本渡楓,w,m,1,2018/8/15,2019/7/3,2020/3/31,322,272,,,
Yuru Camp,Kagamihara Nadeshiko_swimsuit,なでしこ【水著】,花守ゆみり,w,k,1,2018/8/15,2019/7/3,2020/1/15,322,196,,,
Is the Order a Rabbit?,Hoto Cocoa_xmas,ココア【クリスマス】,佐倉綾音,f,p,1,2019/12/11,2020/10/27,,321,43+,,,
Yuru Camp,Inuyama Aoi_swimsuit,あおい【水著】,豊崎愛生,w,m,1,2019/7/24,2020/6/9,,321,183+,,,
Kirara Fantasia,Lamp_swimsuit,ランプ【水著】,高野麻里佳,s,m,1,2019/8/8,2020/6/23,,320,169+,,,
Kiniro Mosaic,Komichi Aya_swimsuit,綾【水著】,種田梨沙,s,k,1,2018/8/10,2019/6/19,2019/8/27,313,69,,,
School-Live!,Takeya Yuki_swimsuit,ゆき【水著】,水瀬いのり,a,m,1,2018/8/10,2019/6/19,2020/3/31,313,286,,,
Anne Happy,Hibiki,ヒビキ【バレンタイン】,山村響,m,w,1,2020/1/30,,,314,X,,,
NEW GAME!,Mochizuki Momiji_valentine,紅葉【バレンタイン】,鈴木亜理沙,a,m,1,2020/1/30,,,314,X,,,
Yumekui Merry,Merry Nightmare_valentine,メリー【バレンタイン】,佐倉綾音,a,p,1,2020/1/30,,,314,X,,,
Is the Order a Rabbit?,Kafu Chino_swimsuit,チノ【水著】,水瀬いのり,e,k,1,2019/8/8,2020/6/9,,306,183+,,,
